sample_method,sample_size,sample_no,percent_male,protected_frequency,log_geom_diversity,4_entropy
uniform,40,36,20,0.875,-35.348009132104266,0.965655369889536
uniform,40,37,20,0.85,-32.76230409107968,1.1058898790247633
uniform,40,38,20,0.775,-35.225464056329045,1.2245159646384434
uniform,40,39,20,0.825,-32.03235582448762,1.151667979885236
uniform,40,40,20,0.825,-31.784561800772995,1.1455755158824392
uniform,40,41,20,0.825,-32.271093660571665,1.151667979885236
uniform,40,42,20,0.775,-32.00345073684503,1.2245159646384434
uniform,40,43,20,0.75,-32.53537773669757,1.207973687592232
uniform,40,44,20,0.75,-32.46506233963339,1.207919541255537
uniform,40,45,20,0.825,-32.994386208767736,1.136379418399844
uniform,40,46,20,0.825,-35.378079665688965,1.139891195911872
uniform,40,47,20,0.825,-31.14558126111657,1.1547029362320347
uniform,40,48,20,0.775,-32.3562896023508,1.2245159646384434
uniform,40,49,20,0.8,-31.79219127313942,1.1919860852527375
uniform,40,50,20,0.725,-32.8670709304788,1.2588473036026393
uniform,40,51,20,0.75,-32.97186358650485,1.2554823251787535
uniform,40,52,20,0.825,-31.954704424825188,1.151667979885236
uniform,40,53,20,0.8,-34.074284146394106,1.1872328156177405
uniform,40,54,20,0.9,-33.2622578746656,0.9995819067909201
uniform,40,55,20,0.85,-31.564199907488856,1.1058898790247633
uniform,40,56,20,0.825,-31.547063755543345,1.1307637755622766
uniform,40,57,20,0.875,-32.34795717704658,1.0670432111586647
uniform,40,58,20,0.825,-32.59581672738349,1.1368562395650734
uniform,40,59,20,0.725,-33.4831055735312,1.2588473036026393
uniform,40,60,20,0.825,-32.165073328655666,1.1547029362320347
uniform,40,61,20,0.875,-31.911720034819584,1.0641821694358589
uniform,40,62,20,0.7,-31.598945597040053,1.2926579551426813
uniform,40,63,20,0.725,-33.47650897634961,1.2496272508444413
uniform,40,64,20,0.775,-31.637236627966313,1.2245159646384434
uniform,40,65,20,0.7,-32.80249928887331,1.1983535574502158
uniform,40,66,20,0.875,-31.861209505704764,1.0670432111586647
uniform,40,67,20,0.825,-31.539638877794594,1.136379418399844
uniform,40,68,20,0.825,-33.67003752834996,1.1368562395650734
uniform,40,69,20,0.9,-36.126061765699085,1.003759346135877
uniform,40,70,20,0.775,-33.54426482961446,1.2049897689072253
uniform,40,71,20,0.775,-31.491226926076315,1.2049897689072253
uniform,40,72,20,0.825,-32.64786455073801,1.1215676780796815
uniform,40,73,20,0.925,-33.2290555770948,0.9072077263064946
uniform,40,74,20,0.95,-33.328134661479666,0.8583770905398282
uniform,40,75,20,0.85,-31.693378526800235,1.102551408671384
uniform,40,76,20,0.85,-35.20433719636917,1.053262284795137
uniform,40,77,20,0.875,-34.173643385391635,1.0670432111586647
uniform,40,78,20,0.725,-34.23548721787893,1.2588473036026393
uniform,40,79,20,0.85,-32.89897527067554,1.053262284795137
uniform,40,80,20,0.8,-32.23432385644968,1.128710681392036
uniform,40,81,20,0.75,-32.1456419617504,1.207973687592232
uniform,40,82,20,0.85,-33.86340403078451,1.102551408671384
uniform,40,83,20,0.8,-36.33913604367876,1.1872832254713435
uniform,40,84,20,0.75,-36.11077538488939,1.2504484467910815
uniform,40,85,20,0.725,-32.01369845860529,1.241007557967569
uniform,40,86,20,0.85,-33.53001364844321,1.1058898790247633
uniform,40,87,20,0.675,-31.956258252360772,1.3108205863739777
uniform,40,88,20,0.7,-32.64055002354747,1.2580481453641945
uniform,40,89,20,0.85,-34.3229086379426,1.114384830864533
uniform,40,90,20,0.875,-33.314832858209115,1.0454670557247812
uniform,40,91,20,0.825,-32.631842672719095,1.1547029362320347
uniform,40,92,20,0.75,-36.89178607758822,1.2554823251787535
uniform,40,93,20,0.825,-32.56318866134752,1.1215676780796815
uniform,40,94,20,0.725,-32.70224550182677,1.2693481285151735
uniform,40,95,20,0.825,-35.28892721311846,1.066646268242422
uniform,40,96,20,0.8,-31.730656909505207,1.1673871969099059
uniform,40,97,20,0.75,-33.44831295383037,1.228225043980257
uniform,40,98,20,0.85,-32.99923440615264,1.07946837261189
uniform,40,99,20,0.775,-32.814646272320246,1.1936391020391603
uniform,40,0,30,0.7,-33.11910940077158,1.2852343430776518
uniform,40,1,30,0.65,-33.62219817264159,1.3057360242692195
uniform,40,2,30,0.725,-36.040220849087696,1.2693481285151735
uniform,40,3,30,0.725,-32.23553554966765,1.2762917646045535
uniform,40,4,30,0.575,-31.232091806926405,1.3605700206113298
uniform,40,5,30,0.675,-33.56197263924449,1.2920494622513032
uniform,40,6,30,0.6,-32.13693155988917,1.35778649882815
uniform,40,7,30,0.7,-31.800578194472994,1.2541813939702853
uniform,40,8,30,0.6,-33.702494293574674,1.3661588475692017
uniform,40,9,30,0.725,-32.29322333892476,1.2354609535646968
uniform,40,10,30,0.7,-33.762913432662565,1.2541813939702853
uniform,40,11,30,0.725,-31.486147057646274,1.2446810063228948
uniform,40,12,30,0.7,-35.29008208513474,1.287814742102076
uniform,40,13,30,0.7,-31.89252221093812,1.2647678718324977
uniform,40,14,30,0.575,-32.915499821897754,1.3605700206113298
uniform,40,15,30,0.725,-31.4522505930518,1.2514063333491916
uniform,40,16,30,0.75,-35.13111009791951,1.248780543356486
uniform,40,17,30,0.725,-33.568255810283155,1.2588473036026393
uniform,40,18,30,0.725,-33.07780601532221,1.2601280757569755
uniform,40,19,30,0.675,-33.62957246764995,1.3185904372953194
uniform,40,20,30,0.7,-34.67199748558615,1.2836285677315502
uniform,40,21,30,0.7,-34.36758891121413,1.2968441295132072
uniform,40,22,30,0.6,-33.59333067401318,1.2735586526749767
uniform,40,23,30,0.625,-36.785724424012955,1.3117482818709958
uniform,40,24,30,0.625,-31.42401177832604,1.3533763335818898
uniform,40,25,30,0.675,-31.981745847386083,1.3033547178082423
uniform,40,26,30,0.75,-35.11056898741032,1.2332437021178952
uniform,40,27,30,0.7,-33.98090779839592,1.2926579551426813
uniform,40,28,30,0.725,-32.26858069002401,1.270526851138598
uniform,40,29,30,0.6,-33.10183998920861,1.354653309514755
uniform,40,30,30,0.75,-36.97422461515089,1.2353468116280646
uniform,40,31,30,0.75,-32.072321394710755,1.248780543356486
uniform,40,32,30,0.725,-32.419252058244695,1.2693481285151735
uniform,40,33,30,0.775,-31.211850555235806,1.1452054091887367
uniform,40,34,30,0.775,-32.88300035139046,1.2212845423584522
uniform,40,35,30,0.725,-32.618281157956915,1.2762917646045535
uniform,40,36,30,0.525,-33.8792793421694,1.379010126127726
uniform,40,37,30,0.8,-36.18885911089242,1.1658236780645101
uniform,40,38,30,0.675,-32.69012150329909,1.2948836677515692
uniform,40,39,30,0.725,-34.12427370850246,1.2446810063228948
uniform,40,40,30,0.725,-32.37856709536401,1.2514063333491916
uniform,40,41,30,0.75,-34.33405267776328,1.2349116055524907
uniform,40,42,30,0.7,-32.504045133816646,1.258367568340811
uniform,40,43,30,0.675,-33.36228062907336,1.2623805702998523
uniform,40,44,30,0.6,-32.314800703905355,1.363025658255807
uniform,40,45,30,0.75,-34.37986634991121,1.219809970389474
uniform,40,46,30,0.625,-32.77732491169137,1.3077375525975028
uniform,40,47,30,0.6,-32.609319443207625,1.3609399069340555
uniform,40,48,30,0.75,-33.81595866217866,1.240380690015737
uniform,40,49,30,0.85,-33.7185610351607,1.0421543707762
uniform,40,50,30,0.625,-32.59697825508493,1.3533763335818898
uniform,40,51,30,0.65,-32.88483281571654,1.3195454632493369
uniform,40,52,30,0.675,-31.39529678361744,1.3108205863739777
uniform,40,53,30,0.75,-33.43555984623395,1.24879576360652
uniform,40,54,30,0.625,-32.54183131334572,1.346659467717679
uniform,40,55,30,0.65,-32.67848688106476,1.3350851650920204
uniform,40,56,30,0.75,-32.26971290594519,1.2437618852188477
uniform,40,57,30,0.625,-33.81861057042428,1.320888343149322
uniform,40,58,30,0.675,-31.353793704075976,1.2948836677515692
uniform,40,59,30,0.725,-33.35484929813011,1.2670717118463555
uniform,40,60,30,0.825,-33.22561518763346,1.1547029362320347
uniform,40,61,30,0.775,-32.22328375488064,1.1387153135496955
uniform,40,62,30,0.85,-32.952192661869134,1.078542266530246
uniform,40,63,30,0.6,-32.494302881268425,1.363025658255807
uniform,40,64,30,0.625,-32.38663477383976,1.3493656043083968
uniform,40,65,30,0.85,-33.43492687180752,1.114384830864533
uniform,40,66,30,0.575,-33.324780291219405,1.3373345251673217
uniform,40,67,30,0.775,-32.810269407496655,1.2131652977703786
uniform,40,68,30,0.725,-32.09540098078424,1.270526851138598
uniform,40,69,30,0.675,-33.49053753970821,1.299819313172645
uniform,40,70,30,0.675,-32.63326897107129,1.299819313172645
uniform,40,71,30,0.725,-33.02347508349146,1.2670717118463555
uniform,40,72,30,0.65,-33.40767158285421,1.338668841642836
uniform,40,73,30,0.7,-32.70242088340142,1.2968441295132072
uniform,40,74,30,0.575,-32.66762854372305,1.347208482128024
uniform,40,75,30,0.65,-34.06943361630182,1.3292871999608802
uniform,40,76,30,0.725,-32.467750931906096,1.2762917646045535
uniform,40,77,30,0.55,-33.15197488458199,1.3762266043445464
uniform,40,78,30,0.625,-31.293408224366285,1.3493656043083968
uniform,40,79,30,0.625,-32.497874390119435,1.3223289850325168
uniform,40,80,30,0.8,-34.448324460065884,1.1856692967723448
uniform,40,81,30,0.525,-31.97972195816416,1.354653309514755
uniform,40,82,30,0.65,-34.01018345112119,1.3241821248572836
uniform,40,83,30,0.75,-36.71805449968963,1.248780543356486
uniform,40,84,30,0.625,-36.76981051502566,1.3345749051672384
uniform,40,85,30,0.7,-32.82999944091314,1.2413776646612713
uniform,40,86,30,0.575,-33.73663351061354,1.3737224209213676
uniform,40,87,30,0.675,-33.21418771540486,1.3185904372953194
uniform,40,88,30,0.8,-32.38090591717577,1.173086737130507
uniform,40,89,30,0.8,-32.52336977204456,1.1809664369909507
uniform,40,90,30,0.725,-32.522210076142606,1.2514063333491916
uniform,40,91,30,0.675,-32.40870794783254,1.2920494622513032
uniform,40,92,30,0.65,-31.867198958515697,1.2948329840344832
uniform,40,93,30,0.7,-34.641790395618706,1.3040114826148388
uniform,40,94,30,0.675,-33.506773524019835,1.3111245687295838
uniform,40,95,30,0.65,-33.29526541439959,1.3350851650920204
uniform,40,96,30,0.675,-31.833116205699824,1.3185904372953194
uniform,40,97,30,0.7,-32.8973914302397,1.2150389505939838
uniform,40,98,30,0.725,-32.76591992698855,1.2514063333491916
uniform,40,99,30,0.675,-34.42990493659171,1.2948836677515692
uniform,40,0,40,0.575,-32.836514996156694,1.341291771031449
uniform,40,1,40,0.5,-33.64189105551104,1.3837901776967123
uniform,40,2,40,0.675,-32.80549003878919,1.3145328001833665
uniform,40,3,40,0.45,-32.720482788112605,1.379010126127726
uniform,40,4,40,0.7,-32.964512975384984,1.2836285677315502
uniform,40,5,40,0.65,-34.11969655349545,1.3195454632493369
uniform,40,6,40,0.6,-33.693077667043525,1.363025658255807
uniform,40,7,40,0.675,-32.926840912880486,1.2698464388655877
uniform,40,8,40,0.525,-32.85895662968063,1.338668841642836
uniform,40,9,40,0.575,-32.46519600857184,1.3737224209213676
uniform,40,10,40,0.475,-33.869654942855945,1.3533763335818898
uniform,40,11,40,0.65,-33.53100488773302,1.337010143043762
uniform,40,12,40,0.55,-33.7027136198718,1.3785024724903538
uniform,40,13,40,0.65,-32.26588843996419,1.332870876511696
uniform,40,14,40,0.725,-32.202788412368285,1.2670717118463555
uniform,40,15,40,0.55,-31.741418730742073,1.332870876511696
uniform,40,16,40,0.6,-32.84530672933575,1.3352487738455703
uniform,40,17,40,0.7,-31.593857076867614,1.2980380723866656
uniform,40,18,40,0.575,-32.97776677543559,1.354653309514755
uniform,40,19,40,0.6,-33.08660950958302,1.354653309514755
uniform,40,20,40,0.575,-32.561201849993694,1.3678057098247929
uniform,40,21,40,0.7,-32.188403163043304,1.2980380723866656
uniform,40,22,40,0.6,-32.69486150446928,1.3451529218673648
uniform,40,23,40,0.625,-32.66935094925763,1.3426487384441863
uniform,40,24,40,0.625,-32.84793450740809,1.3223289850325168
uniform,40,25,40,0.6,-31.821284034021932,1.3535252706084164
uniform,40,26,40,0.6,-34.56471000093223,1.3290458508967273
uniform,40,27,40,0.675,-34.03793891440675,1.2920494622513032
uniform,40,28,40,0.475,-31.89749798324206,1.3737224209213676
uniform,40,29,40,0.65,-34.28204561911507,1.188053830588938
uniform,40,30,40,0.475,-32.19792999733732,1.3785024724903538
uniform,40,31,40,0.675,-33.576909480540834,1.2845384366911246
uniform,40,32,40,0.75,-32.52978589167081,1.2353468116280646
uniform,40,33,40,0.5,-34.43250157062021,1.3609399069340555
uniform,40,34,40,0.575,-33.02862613851417,1.3678057098247929
uniform,40,35,40,0.6,-34.11104887534698,1.3352487738455703
uniform,40,36,40,0.625,-32.24339311623647,1.3493656043083968
uniform,40,37,40,0.525,-32.10066878706958,1.3785024724903538
uniform,40,38,40,0.625,-32.55013150978408,1.346659467717679
uniform,40,39,40,0.65,-33.30365478450848,1.3405938195945777
uniform,40,40,40,0.625,-34.180542135802455,1.3493656043083968
uniform,40,41,40,0.625,-33.10109937176802,1.3057360242692198
uniform,40,42,40,0.65,-33.56828508436756,1.3350851650920204
uniform,40,43,40,0.55,-31.777598301635205,1.3412917710314491
uniform,40,44,40,0.725,-33.473137297886815,1.2797469038967961
uniform,40,45,40,0.65,-33.209197508993554,1.3292871999608802
uniform,40,46,40,0.6,-32.273498107389536,1.35778649882815
uniform,40,47,40,0.7,-33.22672156270165,1.2708248384225362
uniform,40,48,40,0.575,-32.8873907519148,1.3737224209213676
uniform,40,49,40,0.45,-33.25311829156948,1.346659467717679
uniform,40,50,40,0.7,-32.23916712880036,1.2836285677315502
uniform,40,51,40,0.625,-33.0311623442113,1.3493656043083968
uniform,40,52,40,0.725,-31.682371522386493,1.2797469038967961
uniform,40,53,40,0.75,-32.08365362511608,1.1364742090896758
uniform,40,54,40,0.55,-32.06279536876897,1.3261071028090254
uniform,40,55,40,0.675,-32.98078581981547,1.2761125436288947
uniform,40,56,40,0.625,-31.64707702922115,1.3329729056997628
uniform,40,57,40,0.475,-33.2627998837074,1.3640730962474505
uniform,40,58,40,0.8,-32.49976447959951,1.1872832254713435
uniform,40,59,40,0.575,-34.04579564811096,1.3558011387542241
uniform,40,60,40,0.625,-33.50047639825658,1.3345749051672384
uniform,40,61,40,0.675,-37.25177237778879,1.298595881560958
uniform,40,62,40,0.525,-31.78175136322208,1.3289621764262698
uniform,40,63,40,0.375,-32.17063318498118,1.2779202721425356
uniform,40,64,40,0.775,-31.59481072337571,1.1484368314687279
uniform,40,65,40,0.55,-31.54317101039584,1.3493656043083968
uniform,40,66,40,0.65,-31.863171893678764,1.2912553025553353
uniform,40,67,40,0.45,-31.984315375553717,1.332870876511696
uniform,40,68,40,0.6,-32.07324722268392,1.354653309514755
uniform,40,69,40,0.425,-34.597552498563076,1.3737224209213676
uniform,40,70,40,0.575,-33.424505709447054,1.3737224209213676
uniform,40,71,40,0.475,-32.90005633959895,1.338668841642836
uniform,40,72,40,0.625,-33.434643293308525,1.3345749051672384
uniform,40,73,40,0.65,-32.36492017591749,1.337010143043762
uniform,40,74,40,0.6,-31.682858843615,1.354653309514755
uniform,40,75,40,0.575,-34.481264146979434,1.36057002061133
uniform,40,76,40,0.525,-32.98213748919375,1.367805709824793
uniform,40,77,40,0.6,-34.38416860532235,1.354653309514755
uniform,40,78,40,0.6,-33.17479017578475,1.3289621764262698
uniform,40,79,40,0.55,-32.2208152720773,1.346659467717679
uniform,40,80,40,0.625,-34.916321939539216,1.3289621764262698
uniform,40,81,40,0.6,-34.72726512225583,1.3535252706084164
uniform,40,82,40,0.65,-31.04154926724699,1.2996637193205551
uniform,40,83,40,0.525,-31.875736507048163,1.369360801453809
uniform,40,84,40,0.55,-34.55528555592393,1.3535252706084164
uniform,40,85,40,0.65,-32.92873991981795,1.3093197008200355
uniform,40,86,40,0.625,-32.936339219683866,1.3533763335818898
uniform,40,87,40,0.6,-31.293846331200417,1.3451529218673648
uniform,40,88,40,0.675,-33.488405933507785,1.3223026511047082
uniform,40,89,40,0.625,-33.10029385381635,1.320888343149322
uniform,40,90,40,0.575,-32.415517502753175,1.3292871999608802
uniform,40,91,40,0.675,-34.63919065839201,1.2761125436288947
uniform,40,92,40,0.6,-32.712220120669436,1.3352487738455705
uniform,40,93,40,0.65,-32.455447229855174,1.3292871999608802
uniform,40,94,40,0.625,-32.25553409806067,1.3533763335818898
uniform,40,95,40,0.7,-31.15545512838045,1.2798542258336676
uniform,40,96,40,0.675,-31.919936848305312,1.276768585769783
